time_step,x,y
1464,1385,517
1465,1399,500
1466,1410,485
1467,1420,469
1468,1432,451
1469,1443,434
1470,1454,419
1471,1464,404
1472,1475,387
1473,1483,370
1474,1492,350
1475,1499,337
1476,1508,315
1477,1516,288
1478,1521,267
1479,1527,246
1480,1530,221
1481,1531,196
1482,1531,174
1483,1529,154
1484,1521,136
1485,1517,137
1486,1514,145
1487,1509,156
1488,1498,158
1489,1486,162
1490,1470,167
1491,1454,167
1492,1439,164
1493,1423,163
1494,1405,165
1495,1390,166
1496,1372,167
1497,1352,171
1498,1333,174
1499,1314,179
1500,1294,184
1501,1274,189
1502,1252,193
1503,1232,196
1504,1219,201
1505,1192,207
1506,1169,212
1507,1149,218
1508,1128,225
1509,1102,233
1510,1079,241
1511,1055,251
1512,1034,262
1513,1010,278
1514,990,290
1515,976,298
1516,956,313
1517,942,325
1518,922,342
1519,907,359
1520,892,375
1521,877,389
1522,860,408
1523,841,428
1524,826,442
1525,805,460
1526,784,480
1527,766,499
1528,750,518
1529,735,538
1530,723,559
1531,710,580
1532,698,598
1533,687,616
1534,677,640
1535,671,653
1536,660,679
1537,653,701
1538,648,723
1539,638,742
1540,634,762
1541,627,793
1542,625,817
1543,623,841
1544,621,869
1545,619,890
1546,618,912
1547,611,918
1548,615,931
1549,612,916
1550,620,914
1551,619,901
1552,635,892
1553,647,883
1554,653,880
1555,678,854
1556,689,842
1557,704,824
1558,716,810
1559,726,800
1560,741,784
1561,749,776
1562,761,764
1563,782,748
1564,800,736
1565,820,727
1566,841,720
1567,853,717
1568,870,713
1569,894,708
1570,915,702
1571,945,698
1572,970,697
1573,992,692
1574,1016,688
1575,1032,685
1576,1056,677
1577,1079,668
1578,1101,659
1579,1124,645
1580,1143,633
1581,1163,615
1582,1179,596
1583,1194,579
1584,1206,560
1585,1217,542
1586,1225,522
1587,1233,502
1588,1240,481
1589,1247,461
1590,1251,440
1591,1256,422
1592,1261,407
1593,1265,385
1594,1269,365
1595,1272,348
1596,1275,331
1597,1276,313
1598,1278,295
1599,1279,277
1600,1280,260
1601,1280,239
1602,1281,219
1603,1281,198
1604,1283,180
1605,1283,161
1606,1282,147
1607,1285,147
1608,1297,155
1609,1312,163
1610,1327,168
1611,1346,175
1612,1356,179
1613,1373,183
1614,1394,186
1615,1412,190
1616,1432,197
1617,1453,205
1618,1469,215
1619,1487,227
1620,1505,241
1621,1521,255
1622,1536,269
1623,1555,286
1624,1568,299
1625,1584,318
1626,1599,339
1627,1607,352
1628,1617,372
1629,1628,393
1630,1637,413
1631,1641,429
1632,1647,454
1633,1649,468
1634,1653,503
1635,1644,524
1636,1637,539
1637,1630,558
1638,1626,578
1639,1618,592
1640,1610,616
1641,1600,635
1642,1589,650
1643,1575,669
1644,1562,686
1645,1549,702
1646,1533,716
1647,1514,733
1648,1495,751
1649,1478,764
1650,1459,779
1651,1441,793
1652,1422,804
1653,1405,813
1654,1384,824
1655,1367,831
1656,1350,838
1657,1329,851
1658,1312,858
1659,1297,866
1660,1280,875
1661,1261,881
1662,1242,888
1663,1229,892
1664,1208,901
1665,1190,908
1666,1175,912
1667,1153,922
1668,1131,933
1669,1109,939
1670,1089,939
1671,1068,939
1672,1051,938
1673,1034,939
1674,1012,938
1675,989,936
1676,979,935
1677,963,933
1678,943,929
1679,921,923
1680,904,918
1681,878,909
1682,854,900
1683,835,892
1684,814,881
1685,798,872
1686,776,863
1687,758,852
1688,743,845
1689,718,832
1690,697,822
1691,677,812
1692,654,801
1693,641,793
1694,625,786
1695,608,780
1696,587,778
1697,569,773
1698,546,773
1699,516,773
1700,497,773
1701,482,775
1702,459,775
1703,438,781
1704,419,787
1705,397,795
1706,373,798
1707,358,806
1708,351,812
1709,327,827
1710,308,835
1711,296,842
1712,279,853
1713,282,870
1714,288,884
1715,294,891
1716,301,905
1717,309,917
1718,313,927
1719,320,938
1720,323,930
1721,334,923
1722,345,923
1723,358,922
1724,374,925
1725,396,931
1726,421,937
1727,444,937
1728,457,942
1729,478,940
1730,490,942
1731,516,950
1732,534,948
1733,568,941
1734,592,937
1735,613,935
1736,638,929
1737,667,926
1738,681,920
1739,696,912
1740,719,906
1741,740,904
1742,767,900
1743,787,898
1744,806,897
1745,828,898
1746,851,903
1747,873,910
1748,894,915
1749,914,920
1750,929,927
1751,951,939
1752,971,945
1753,984,934
1754,991,926
1755,1005,920
1756,1030,915
1757,1045,912
1758,1070,902
1759,1087,894
1760,1106,883
1761,1130,870
1762,1152,859
1763,1170,851
1764,1186,840
1765,1206,829
1766,1226,818
1767,1240,811
1768,1266,794
1769,1285,784
1770,1306,771
1771,1328,757
1772,1346,745
1773,1365,728
1774,1383,714
1775,1400,702
1776,1418,690
1777,1434,679
1778,1451,666
1779,1467,653
1780,1484,641
1781,1498,630
1782,1513,621
1783,1527,609
1784,1546,593
1785,1567,577
1786,1583,563
1787,1597,553
1788,1613,543
1789,1621,540
1790,1640,514
1791,1635,506
1792,1624,499
1793,1614,497
1794,1607,484
1795,1602,472
1796,1596,457
1797,1590,439
1798,1586,419
1799,1580,399
1800,1570,374
1801,1561,353
1802,1550,332
1803,1539,313
1804,1525,291
1805,1515,276
1806,1500,262
1807,1489,251
1808,1471,239
1809,1455,228
1810,1435,219
1811,1416,211
1812,1399,206
1813,1377,201
1814,1356,197
1815,1335,196
1816,1310,193
1817,1288,191
1818,1269,189
1819,1248,187
1820,1227,185
1821,1211,184
1822,1189,180
1823,1171,178
1824,1151,176
1825,1128,170
1826,1109,167
1827,1088,165
1828,1068,163
1829,1051,162
1830,1034,161
1831,1014,162
1832,999,161
1833,984,162
1834,957,164
1835,934,165
1836,913,165
1837,897,167
1838,874,170
1839,855,172
1840,837,173
1841,817,175
1842,793,180
1843,780,182
1844,755,191
1845,734,199
1846,710,211
1847,686,224
1848,667,235
1849,645,249
1850,629,260
1851,610,273
1852,588,286
1853,572,299
1854,557,309
1855,537,321
1856,522,334
1857,506,347
1858,488,364
1859,471,381
1860,457,400
1861,450,415
1862,440,434
1863,434,453
